File,Number of Threads/Processes,N,Sum,Time Taken
Baseline,1,100000000,4999999950000000,0.252824
Baseline,1,100000000,4999999950000000,0.252012
Baseline,1,100000000,4999999950000000,0.252567
Baseline,1,100000000,4999999950000000,0.251615
Baseline,1,100000000,4999999950000000,0.254183
Baseline,1,100000000,4999999950000000,0.255491
Baseline,1,100000000,4999999950000000,0.252813
Baseline,1,100000000,4999999950000000,0.253641
Baseline,1,100000000,4999999950000000,0.256061
Baseline,1,100000000,4999999950000000,0.255629
Baseline,1,100000000,4999999950000000,0.258780
Baseline,1,100000000,4999999950000000,0.259444
Baseline,1,100000000,4999999950000000,0.256216
Baseline,1,100000000,4999999950000000,0.254370
Baseline,1,100000000,4999999950000000,0.254146
Baseline,1,100000000,4999999950000000,0.254194
Baseline,1,100000000,4999999950000000,0.257596
Baseline,1,100000000,4999999950000000,0.256504
Baseline,1,100000000,4999999950000000,0.256748
Baseline,1,100000000,4999999950000000,0.261181
Baseline,1,100000000,4999999950000000,0.258702
Baseline,1,100000000,4999999950000000,0.259153
Baseline,1,100000000,4999999950000000,0.260150
Baseline,1,100000000,4999999950000000,0.258246
Baseline,1,100000000,4999999950000000,0.259136
Baseline,1,100000000,4999999950000000,0.260368
Baseline,1,100000000,4999999950000000,0.257725
Baseline,1,100000000,4999999950000000,0.258523
Baseline,1,100000000,4999999950000000,0.261090
Baseline,1,100000000,4999999950000000,0.263451
Baseline,1,100000000,4999999950000000,0.264328
Baseline,1,100000000,4999999950000000,0.259663
Baseline,1,100000000,4999999950000000,0.260780
Baseline,1,100000000,4999999950000000,0.257163
Baseline,1,100000000,4999999950000000,0.262420
Baseline,1,100000000,4999999950000000,0.260730
Baseline,1,100000000,4999999950000000,0.262071
Baseline,1,100000000,4999999950000000,0.261420
Baseline,1,100000000,4999999950000000,0.259649
Baseline,1,100000000,4999999950000000,0.258553
Baseline,1,100000000,4999999950000000,0.261987
Baseline,1,100000000,4999999950000000,0.263705
Baseline,1,100000000,4999999950000000,0.261024
Baseline,1,100000000,4999999950000000,0.259505
Baseline,1,100000000,4999999950000000,0.257551
Baseline,1,100000000,4999999950000000,0.261781
Baseline,1,100000000,4999999950000000,0.261918
Baseline,1,100000000,4999999950000000,0.258201
Baseline,1,100000000,4999999950000000,0.259116
Baseline,1,100000000,4999999950000000,0.258889
Baseline,1,100000000,4999999950000000,0.261489
Baseline,1,100000000,4999999950000000,0.263378
Baseline,1,100000000,4999999950000000,0.260019
Baseline,1,100000000,4999999950000000,0.257710
Baseline,1,100000000,4999999950000000,0.258116
Baseline,1,100000000,4999999950000000,0.259460
Baseline,1,100000000,4999999950000000,0.261255
Baseline,1,100000000,4999999950000000,0.260925
Baseline,1,100000000,4999999950000000,0.259509
Baseline,1,100000000,4999999950000000,0.261935
Baseline,1,100000000,4999999950000000,0.257968
Baseline,1,100000000,4999999950000000,0.262201
Baseline,1,100000000,4999999950000000,0.263052
Baseline,1,100000000,4999999950000000,0.257409
Baseline,1,100000000,4999999950000000,0.260155
Baseline,1,100000000,4999999950000000,0.263279
Baseline,1,100000000,4999999950000000,0.257871
Baseline,1,100000000,4999999950000000,0.260439
Baseline,1,100000000,4999999950000000,0.264627
Baseline,1,100000000,4999999950000000,0.263395
Baseline,1,100000000,4999999950000000,0.258088
Baseline,1,100000000,4999999950000000,0.266621
Baseline,1,100000000,4999999950000000,0.264619
Baseline,1,100000000,4999999950000000,0.262768
Baseline,1,100000000,4999999950000000,0.268295
Baseline,1,100000000,4999999950000000,0.265697
Baseline,1,100000000,4999999950000000,0.261774
Baseline,1,100000000,4999999950000000,0.261894
Baseline,1,100000000,4999999950000000,0.261842
Baseline,1,100000000,4999999950000000,0.262720
Baseline,1,100000000,4999999950000000,0.265891
Baseline,1,100000000,4999999950000000,0.263611
Baseline,1,100000000,4999999950000000,0.261899
Baseline,1,100000000,4999999950000000,0.264543
Baseline,1,100000000,4999999950000000,0.266185
Baseline,1,100000000,4999999950000000,0.262812
Baseline,1,100000000,4999999950000000,0.262120
Baseline,1,100000000,4999999950000000,0.265638
Baseline,1,100000000,4999999950000000,0.264365
Baseline,1,100000000,4999999950000000,0.264453
Baseline,1,100000000,4999999950000000,0.261799
Baseline,1,100000000,4999999950000000,0.262022
Baseline,1,100000000,4999999950000000,0.262984
Baseline,1,100000000,4999999950000000,0.261558
Baseline,1,100000000,4999999950000000,0.261680
Baseline,1,100000000,4999999950000000,0.262352
Baseline,1,100000000,4999999950000000,0.264185
Baseline,1,100000000,4999999950000000,0.261990
Baseline,1,100000000,4999999950000000,0.267604
Baseline,1,100000000,4999999950000000,0.263797
Multithreading,2,100000000,4999999950000000,0.113144
Multithreading,2,100000000,4999999950000000,0.116265
Multithreading,2,100000000,4999999950000000,0.116897
Multithreading,2,100000000,4999999950000000,0.117463
Multithreading,2,100000000,4999999950000000,0.118088
Multithreading,2,100000000,4999999950000000,0.117255
Multithreading,2,100000000,4999999950000000,0.116860
Multithreading,2,100000000,4999999950000000,0.118783
Multithreading,2,100000000,4999999950000000,0.120344
Multithreading,2,100000000,4999999950000000,0.118923
Multithreading,2,100000000,4999999950000000,0.120152
Multithreading,2,100000000,4999999950000000,0.118021
Multithreading,2,100000000,4999999950000000,0.117020
Multithreading,2,100000000,4999999950000000,0.120378
Multithreading,2,100000000,4999999950000000,0.120519
Multithreading,2,100000000,4999999950000000,0.120308
Multithreading,2,100000000,4999999950000000,0.120467
Multithreading,2,100000000,4999999950000000,0.119998
Multithreading,2,100000000,4999999950000000,0.120043
Multithreading,2,100000000,4999999950000000,0.120504
Multithreading,2,100000000,4999999950000000,0.120276
Multithreading,2,100000000,4999999950000000,0.120495
Multithreading,2,100000000,4999999950000000,0.120628
Multithreading,2,100000000,4999999950000000,0.120337
Multithreading,2,100000000,4999999950000000,0.122057
Multithreading,2,100000000,4999999950000000,0.119940
Multithreading,2,100000000,4999999950000000,0.120545
Multithreading,2,100000000,4999999950000000,0.120316
Multithreading,2,100000000,4999999950000000,0.120492
Multithreading,2,100000000,4999999950000000,0.123151
Multithreading,2,100000000,4999999950000000,0.123839
Multithreading,2,100000000,4999999950000000,0.120386
Multithreading,2,100000000,4999999950000000,0.119975
Multithreading,2,100000000,4999999950000000,0.120394
Multithreading,2,100000000,4999999950000000,0.119368
Multithreading,2,100000000,4999999950000000,0.119980
Multithreading,2,100000000,4999999950000000,0.121888
Multithreading,2,100000000,4999999950000000,0.122936
Multithreading,2,100000000,4999999950000000,0.120368
Multithreading,2,100000000,4999999950000000,0.120646
Multithreading,2,100000000,4999999950000000,0.120449
Multithreading,2,100000000,4999999950000000,0.120181
Multithreading,2,100000000,4999999950000000,0.122137
Multithreading,2,100000000,4999999950000000,0.124647
Multithreading,2,100000000,4999999950000000,0.124251
Multithreading,2,100000000,4999999950000000,0.122377
Multithreading,2,100000000,4999999950000000,0.123171
Multithreading,2,100000000,4999999950000000,0.123817
Multithreading,2,100000000,4999999950000000,0.133496
Multithreading,2,100000000,4999999950000000,0.124694
Multithreading,2,100000000,4999999950000000,0.125169
Multithreading,2,100000000,4999999950000000,0.122168
Multithreading,2,100000000,4999999950000000,0.121737
Multithreading,2,100000000,4999999950000000,0.123356
Multithreading,2,100000000,4999999950000000,0.121978
Multithreading,2,100000000,4999999950000000,0.123605
Multithreading,2,100000000,4999999950000000,0.124993
Multithreading,2,100000000,4999999950000000,0.123276
Multithreading,2,100000000,4999999950000000,0.119395
Multithreading,2,100000000,4999999950000000,0.121893
Multithreading,2,100000000,4999999950000000,0.122622
Multithreading,2,100000000,4999999950000000,0.123599
Multithreading,2,100000000,4999999950000000,0.124847
Multithreading,2,100000000,4999999950000000,0.125105
Multithreading,2,100000000,4999999950000000,0.124628
Multithreading,2,100000000,4999999950000000,0.124396
Multithreading,2,100000000,4999999950000000,0.123882
Multithreading,2,100000000,4999999950000000,0.120440
Multithreading,2,100000000,4999999950000000,0.124223
Multithreading,2,100000000,4999999950000000,0.124371
Multithreading,2,100000000,4999999950000000,0.124230
Multithreading,2,100000000,4999999950000000,0.124554
Multithreading,2,100000000,4999999950000000,0.120785
Multithreading,2,100000000,4999999950000000,0.120251
Multithreading,2,100000000,4999999950000000,0.124300
Multithreading,2,100000000,4999999950000000,0.124210
Multithreading,2,100000000,4999999950000000,0.124415
Multithreading,2,100000000,4999999950000000,0.124516
Multithreading,2,100000000,4999999950000000,0.124026
Multithreading,2,100000000,4999999950000000,0.123839
Multithreading,2,100000000,4999999950000000,0.124217
Multithreading,2,100000000,4999999950000000,0.124278
Multithreading,2,100000000,4999999950000000,0.124363
Multithreading,2,100000000,4999999950000000,0.124336
Multithreading,2,100000000,4999999950000000,0.121447
Multithreading,2,100000000,4999999950000000,0.119550
Multithreading,2,100000000,4999999950000000,0.120392
Multithreading,2,100000000,4999999950000000,0.124170
Multithreading,2,100000000,4999999950000000,0.125857
Multithreading,2,100000000,4999999950000000,0.122031
Multithreading,2,100000000,4999999950000000,0.119655
Multithreading,2,100000000,4999999950000000,0.120298
Multithreading,2,100000000,4999999950000000,0.120201
Multithreading,2,100000000,4999999950000000,0.120232
Multithreading,2,100000000,4999999950000000,0.123227
Multithreading,2,100000000,4999999950000000,0.122699
Multithreading,2,100000000,4999999950000000,0.120289
Multithreading,2,100000000,4999999950000000,0.120313
Multithreading,2,100000000,4999999950000000,0.120364
Multithreading,2,100000000,4999999950000000,0.119976
Multiprocessing_fork,2,100000000,4999999950000000,0.126545
Multiprocessing_fork,2,100000000,4999999950000000,0.126896
Multiprocessing_fork,2,100000000,4999999950000000,0.125562
Multiprocessing_fork,2,100000000,4999999950000000,0.124253
Multiprocessing_fork,2,100000000,4999999950000000,0.121867
Multiprocessing_fork,2,100000000,4999999950000000,0.123032
Multiprocessing_fork,2,100000000,4999999950000000,0.124933
Multiprocessing_fork,2,100000000,4999999950000000,0.124205
Multiprocessing_fork,2,100000000,4999999950000000,0.130720
Multiprocessing_fork,2,100000000,4999999950000000,0.129683
Multiprocessing_fork,2,100000000,4999999950000000,0.127869
Multiprocessing_fork,2,100000000,4999999950000000,0.124058
Multiprocessing_fork,2,100000000,4999999950000000,0.123413
Multiprocessing_fork,2,100000000,4999999950000000,0.126740
Multiprocessing_fork,2,100000000,4999999950000000,0.127476
Multiprocessing_fork,2,100000000,4999999950000000,0.123622
Multiprocessing_fork,2,100000000,4999999950000000,0.123899
Multiprocessing_fork,2,100000000,4999999950000000,0.122239
Multiprocessing_fork,2,100000000,4999999950000000,0.124758
Multiprocessing_fork,2,100000000,4999999950000000,0.125268
Multiprocessing_fork,2,100000000,4999999950000000,0.128829
Multiprocessing_fork,2,100000000,4999999950000000,0.125300
Multiprocessing_fork,2,100000000,4999999950000000,0.124328
Multiprocessing_fork,2,100000000,4999999950000000,0.126092
Multiprocessing_fork,2,100000000,4999999950000000,0.125062
Multiprocessing_fork,2,100000000,4999999950000000,0.128774
Multiprocessing_fork,2,100000000,4999999950000000,0.127558
Multiprocessing_fork,2,100000000,4999999950000000,0.127485
Multiprocessing_fork,2,100000000,4999999950000000,0.126248
Multiprocessing_fork,2,100000000,4999999950000000,0.126346
Multiprocessing_fork,2,100000000,4999999950000000,0.123619
Multiprocessing_fork,2,100000000,4999999950000000,0.125042
Multiprocessing_fork,2,100000000,4999999950000000,0.128136
Multiprocessing_fork,2,100000000,4999999950000000,0.128945
Multiprocessing_fork,2,100000000,4999999950000000,0.126850
Multiprocessing_fork,2,100000000,4999999950000000,0.127195
Multiprocessing_fork,2,100000000,4999999950000000,0.125445
Multiprocessing_fork,2,100000000,4999999950000000,0.127777
Multiprocessing_fork,2,100000000,4999999950000000,0.127002
Multiprocessing_fork,2,100000000,4999999950000000,0.130730
Multiprocessing_fork,2,100000000,4999999950000000,0.129113
Multiprocessing_fork,2,100000000,4999999950000000,0.131230
Multiprocessing_fork,2,100000000,4999999950000000,0.127490
Multiprocessing_fork,2,100000000,4999999950000000,0.126402
Multiprocessing_fork,2,100000000,4999999950000000,0.125995
Multiprocessing_fork,2,100000000,4999999950000000,0.127590
Multiprocessing_fork,2,100000000,4999999950000000,0.132931
Multiprocessing_fork,2,100000000,4999999950000000,0.127891
Multiprocessing_fork,2,100000000,4999999950000000,0.126101
Multiprocessing_fork,2,100000000,4999999950000000,0.125137
