Seed,Input File,Algorithm,Total Page Faults,Total Disk References,Total Dirty Page Writes
0,data2.txt,MIN,2570,4971,2401
1,data2.txt,MIN,2570,4971,2401
2,data2.txt,MIN,2570,4971,2401
3,data2.txt,MIN,2570,4971,2401
4,data2.txt,MIN,2570,4971,2401
5,data2.txt,MIN,2570,4971,2401
6,data2.txt,MIN,2570,4971,2401
7,data2.txt,MIN,2570,4971,2401
8,data2.txt,MIN,2570,4971,2401
9,data2.txt,MIN,2570,4971,2401
10,data2.txt,MIN,2570,4971,2401
11,data2.txt,MIN,2570,4971,2401
12,data2.txt,MIN,2570,4971,2401
13,data2.txt,MIN,2570,4971,2401
14,data2.txt,MIN,2570,4971,2401
15,data2.txt,MIN,2570,4971,2401
16,data2.txt,MIN,2570,4971,2401
17,data2.txt,MIN,2570,4971,2401
18,data2.txt,MIN,2570,4971,2401
19,data2.txt,MIN,2570,4971,2401
