M=2 threads=1 N=100000000 approx=2.056167583560287 exact=2.056167583560283 error=3.996802888650564e-15 time=0.16812682
M=2 threads=2 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=4.440892098500626e-16 time=0.03753160
M=2 threads=4 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=0.000000000000000e+00 time=0.02358051
M=2 threads=8 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=0.000000000000000e+00 time=0.01278214
M=2 threads=16 N=100000000 approx=2.056167583560281 exact=2.056167583560283 error=1.332267629550188e-15 time=0.00969913
M=2 threads=32 N=100000000 approx=2.056167583560284 exact=2.056167583560283 error=1.332267629550188e-15 time=0.00788138
M=2 threads=64 N=100000000 approx=2.056167583560284 exact=2.056167583560283 error=1.776356839400250e-15 time=0.00835760
M=2 threads=128 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=4.440892098500626e-16 time=0.00826339
M=2 threads=256 N=100000000 approx=2.056167583560282 exact=2.056167583560283 error=8.881784197001252e-16 time=0.00750442
M=2 threads=512 N=100000000 approx=2.056167583560280 exact=2.056167583560283 error=3.108624468950438e-15 time=0.00783403
M=2 threads=1024 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=0.000000000000000e+00 time=0.00663134
M=4 threads=1 N=100000000 approx=2.056167583560284 exact=2.056167583560283 error=8.881784197001252e-16 time=0.08248496
M=4 threads=2 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=4.440892098500626e-16 time=0.07356106
M=4 threads=4 N=100000000 approx=2.056167583560282 exact=2.056167583560283 error=4.440892098500626e-16 time=0.05160661
M=4 threads=8 N=100000000 approx=2.056167583560282 exact=2.056167583560283 error=4.440892098500626e-16 time=0.04951292
M=4 threads=16 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=4.440892098500626e-16 time=0.03570132
M=4 threads=32 N=100000000 approx=2.056167583560281 exact=2.056167583560283 error=1.332267629550188e-15 time=0.00805503
M=4 threads=64 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=4.440892098500626e-16 time=0.03853637
M=4 threads=128 N=100000000 approx=2.056167583560284 exact=2.056167583560283 error=1.332267629550188e-15 time=0.01027329
M=4 threads=256 N=100000000 approx=2.056167583560284 exact=2.056167583560283 error=8.881784197001252e-16 time=0.03878716
M=4 threads=512 N=100000000 approx=2.056167583560282 exact=2.056167583560283 error=4.440892098500626e-16 time=0.03816152
M=4 threads=1024 N=100000000 approx=2.056167583560284 exact=2.056167583560283 error=8.881784197001252e-16 time=0.04268420
M=8 threads=1 N=100000000 approx=2.056167583560284 exact=2.056167583560283 error=8.881784197001252e-16 time=0.06896961
M=8 threads=2 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=0.000000000000000e+00 time=0.05814172
M=8 threads=4 N=100000000 approx=2.056167583560282 exact=2.056167583560283 error=8.881784197001252e-16 time=0.08741824
M=8 threads=8 N=100000000 approx=2.056167583560282 exact=2.056167583560283 error=4.440892098500626e-16 time=0.05702291
M=8 threads=16 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=0.000000000000000e+00 time=0.09664661
M=8 threads=32 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=4.440892098500626e-16 time=0.09237123
M=8 threads=64 N=100000000 approx=2.056167583560284 exact=2.056167583560283 error=8.881784197001252e-16 time=0.11196138
M=8 threads=128 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=4.440892098500626e-16 time=0.08871666
M=8 threads=256 N=100000000 approx=2.056167583560283 exact=2.056167583560283 error=0.000000000000000e+00 time=0.09982434
M=8 threads=512 N=100000000 approx=2.056167583560281 exact=2.056167583560283 error=1.332267629550188e-15 time=0.08055380
M=8 threads=1024 N=100000000 approx=2.056167583560282 exact=2.056167583560283 error=4.440892098500626e-16 time=0.09595541
